hh-size,a0-19,a20-64,a65+,freq
2,0,2,0,4128044
1,0,1,0,4122259
1,0,0,1,2903930
4,2,2,0,1990454
2,0,0,2,1954681
3,1,2,0,1698876
2,0,1,1,999527
3,0,3,0,958360
2,1,1,0,864926
5,3,2,0,635617
3,2,1,0,525090
4,1,3,0,356661
4,0,4,0,354523
3,0,1,2,196568
3,0,2,1,195534
4,3,1,0,191630
6,4,2,0,181878
5,2,3,0,143022
5,1,4,0,97910
5,0,5,0,81030
5,4,1,0,59701
6,3,3,0,50045
4,0,3,1,47998
6,2,4,0,42582
1,1,0,0,41072
3,1,1,1,36626
7,5,2,0,35909
4,0,2,2,31588
4,1,2,1,30724
6,0,6,0,27471
6,1,5,0,25953
2,2,0,0,25570
2,1,0,1,25283
5,2,2,1,22529
6,5,1,0,18907
3,0,0,3,14720
4,2,1,1,12933
5,1,3,1,12616
5,0,4,1,12294
7,4,3,0,11611
8,6,2,0,11228
7,3,4,0,10831
6,3,2,1,9207
6,2,3,1,8165
3,1,0,2,7959
7,2,5,0,7820
4,1,1,2,7743
6,2,2,2,7137
5,1,2,2,6666
3,3,0,0,6278
5,0,3,2,5776
7,0,7,0,4873
6,1,4,1,4816
7,1,6,0,4774
8,4,4,0,4094
7,6,1,0,4055
9,7,2,0,3911
8,5,3,0,3841
6,0,5,1,3610
5,3,1,1,3264
8,3,5,0,3185
8,2,6,0,2746
4,0,1,3,2513
7,4,2,1,2457
6,1,3,2,2282
7,3,3,1,2274
7,3,2,2,2223
5,2,1,2,2110
7,2,4,1,1845
6,0,4,2,1779
8,0,8,0,1769
9,5,4,0,1615
8,1,7,0,1568
3,2,0,1,1558
4,4,0,0,1551
10,8,2,0,1527
9,6,3,0,1488
9,3,6,0,1368
4,0,0,4,1317
9,4,5,0,1307
8,7,1,0,1211
6,4,1,1,1134
7,2,3,2,1046
7,1,5,1,1027
4,2,0,2,961
9,2,7,0,958
8,5,2,1,841
8,3,4,1,836
8,4,3,1,816
5,5,0,0,748
10,4,6,0,729
10,7,0,3,722
8,4,2,2,680
5,0,2,3,655
8,2,5,1,635
9,0,9,0,600
10,5,5,0,592
10,7,3,0,543
7,0,6,1,542
5,0,0,5,526
7,1,4,2,521
10,3,7,0,518
6,3,1,2,496
9,1,8,0,487
8,3,3,2,417
9,4,4,1,396
9,3,5,1,365
9,8,1,0,359
8,1,6,1,353
6,6,0,0,338
8,2,4,2,336
10,2,8,0,331
4,3,0,1,329
6,0,0,6,327
7,0,5,2,304
9,2,6,1,302
9,5,3,1,277
5,0,1,4,275
9,6,2,1,274
7,5,1,1,246
10,0,10,0,219
10,4,5,1,211
6,0,3,3,201
9,5,2,2,191
5,3,0,2,182
10,3,6,1,181
8,0,7,1,173
9,3,4,2,172
9,4,3,2,168
10,5,4,1,162
10,1,9,0,155
8,1,5,2,153
4,1,0,3,153
5,1,1,3,144
10,4,4,2,144
10,9,1,0,140
9,1,7,1,130
6,1,2,3,122
9,2,5,2,120
10,2,7,1,109
6,0,1,5,107
8,0,6,2,96
10,6,3,1,96
8,6,1,1,95
5,4,0,1,92
10,7,2,1,91
7,2,2,3,90
6,0,2,4,90
8,8,0,0,87
10,3,5,2,80
9,0,8,1,79
7,4,1,2,71
10,5,3,2,57
9,1,6,2,54
6,2,1,3,52
7,7,0,0,48
7,0,4,3,47
10,6,2,2,47
9,0,7,2,45
10,1,8,1,42
10,2,6,2,40
7,1,3,3,37
9,7,1,1,35
8,3,2,3,31
6,4,0,2,31
10,0,9,1,30
6,5,0,1,28
8,2,3,3,21
8,5,1,2,20
10,1,7,2,18
10,10,0,0,18
5,2,0,3,17
9,2,4,3,15
9,0,6,3,15
7,0,1,6,15
9,3,3,3,14
6,1,1,4,14
5,1,0,4,14
8,0,5,3,13
10,2,5,3,13
7,1,2,4,12
7,0,3,4,12
7,0,2,5,12
7,0,0,7,12
9,4,2,3,11
10,8,1,1,11
10,0,8,2,11
9,9,0,0,9
8,1,4,3,8
8,0,0,8,8
7,3,1,3,8
9,1,5,3,6
9,0,4,5,6
6,1,0,5,6
10,0,0,10,6
9,6,1,2,5
10,3,4,3,5
8,4,1,3,4
8,2,2,4,4
8,0,4,4,4
8,0,3,5,4
8,0,1,7,4
7,5,0,2,4
6,3,0,3,4
10,0,6,4,4
9,2,3,4,3
9,0,5,4,3
9,0,1,8,3
8,6,0,2,3
8,0,2,6,3
7,6,0,1,3
7,1,1,5,3
10,0,5,5,3
10,0,1,9,3
9,8,0,1,2
8,7,0,1,2
8,1,3,4,2
6,2,0,4,2
10,5,2,3,2
10,4,3,3,2
10,3,3,4,2
10,2,4,4,2
10,0,4,6,2
10,0,2,8,2
9,5,1,3,1
9,4,1,4,1
9,3,2,4,1
9,1,2,6,1
9,0,2,7,1
9,0,0,9,1
8,4,0,4,1
7,4,0,3,1
7,1,0,6,1
10,7,1,2,1
10,4,2,4,1
10,1,6,3,1
10,1,1,8,1
10,0,7,3,1
10,0,3,7,1
9,7,0,2,0
9,6,0,3,0
9,5,0,4,0
9,4,0,5,0
9,3,1,5,0
9,3,0,6,0
9,2,2,5,0
9,2,1,6,0
9,2,0,7,0
9,1,4,4,0
9,1,3,5,0
9,1,1,7,0
9,1,0,8,0
9,0,3,6,0
8,5,0,3,0
8,3,1,4,0
8,3,0,5,0
8,2,1,5,0
8,2,0,6,0
8,1,2,5,0
8,1,1,6,0
8,1,0,7,0
7,3,0,4,0
7,2,1,4,0
7,2,0,5,0
10,9,0,1,0
10,8,0,2,0
10,6,4,0,0
10,6,1,3,0
10,6,0,4,0
10,5,1,4,0
10,5,0,5,0
10,4,1,5,0
10,4,0,6,0
10,3,2,5,0
10,3,1,6,0
10,3,0,7,0
10,2,3,5,0
10,2,2,6,0
10,2,1,7,0
10,2,0,8,0
10,1,5,4,0
10,1,4,5,0
10,1,3,6,0
10,1,2,7,0
10,1,0,9,0
